वृद्धिरादैच्,वृद्धिःआदैच्
ह्यसन्न्यस्तसङ्कल्पो योगी,हिअसम्न्यस्तसङ्कल्पःयोगी
कश्चन,कःचन
आरुरुक्षोर्मुनेर्योगङ्कर्म,आरुरुक्षोःमुनेयोगकर्म
कारणमुच्यते,कारणम्उच्यते 
योगारूढस्य,योगआरूढस्य
तस्यैव,तस्यएव
कारणमुच्यते,कारणम्उच्यते
नेन्द्रियार्थेषु,नइन्द्रियअर्थेषु
कर्मस्वनुषज्जते,कर्मसुअनुषज्जते
सर्वसङ्कल्पसन्न्यासी,सर्वसङ्कल्पसम्न्यासी 
योगारूढस्तदोउच्यते,योगआरूढःतदाउच्यते
उद्धरेदात्मनात्मानं नात्मानमवसादयेत्,उत्हरेत्आत्मनाआत्मानम्नआत्मानम्अवसादयेत्
आत्मैव,आत्माएव
ह्यात्मनो बन्धुरात्मैव,हिआत्मनःबन्धुःआत्माएव
रिपुरात्मनः,रिपुःआत्मनः
बन्धुरात्मात्मनस्तस्य,बन्धुःआत्माआत्मनःतस्य
येनात्मैवात्मना,येनआत्माएवआत्मना
अनात्मनस्तु,अन्आत्मनःतु
वर्तेतात्मैव,वर्तेतआत्माएव
जितात्मनः,जितआत्मनः
परमात्मा,परमआत्मा
समाहितः,सम्आहितः
शीतोष्णसुखदुःखेषु,शीतउष्णसुखदुःखेषु
मानापमानयोः,मानअपमानयोः
ज्ञानविज्ञानतृप्तात्मा,ज्ञानविज्ञानतृप्तआत्मा
कूटस्थो विजितेन्द्रियः,कूटस्थःविजितेन्द्रियः 
युक्त इत्युच्यते,युक्तःइतिउच्यते
समलोष्टाश्मकाञ्चनः,समलोष्टअश्मकाम्चनः
सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु,सुहृत्मित्रअरिउदासीनमध्यस्थद्वेष्यबन्धुषु
साधुष्वपि,साधुषुअपि
समबुद्धिर्विशिष्यते,समबुद्धिःविशिष्यते
सततमात्मानं रहसि,सततम्आत्मानम्रहसि 
एकाकी यतचित्तात्मा,एकआकी
यतचित्तात्मा,यतचित्तआत्मा
निराशीरपरिग्रहः,निःआशीःअपरिग्रहः
स्थिरमासनमात्मनः,स्थिरम्आसनआत्मनः 
नात्युच्छ्रितन्नातिनीचम् चैलाजिनकुशोत्तरम्,नअतिउत्श्रृतम्नअतिनीचम्चैलअजिनकुशःउत्तरम्
तत्रैकाग्रं मनः,तत्रएकअग्रम्मनः
यतचित्तेन्द्रियक्रियः,यतचित्तइन्द्रियक्रियः 
उपविश्यासने,उपविश्यआसने
युञ्ज्याद्योगमात्मविशुद्धये,युञ्ज्यात्योगम्आत्मविशुद्धये
समङ्कायशिरोग्रीवन्धारयन्नचलं स्थिरः,समम्कायशिरःग्रीवम्धारयन्अचलम्स्थिरः 
नासिकाग्रं स्वन्दिशश्चानवलोकयन्,नासिकाअग्रम्स्वम्दिशःचअन्अवलोकयन्
प्रशान्तात्मा,प्रशान्तआत्मा
विगतभीर्ब्रह्मचारिव्रते,विगतभीःब्रह्मचारिव्रते
मच्चित्तो युक्त आसीत,मत्चित्तःयुक्तःआसीत
मत्परः,मत्परः 
युञ्जन्नेवं सदात्मानं योगी,युञ्जन्एवम्सत्आत्मानम्योगी
शान्तिन्निर्वाणपरमाम्मत्संस्थामधिगच्छति,शान्तिम्निर्वाणपरमाम्मत्संस्थाम्अधिगच्छति
नात्यश्नतस्तु,नअतिअश्नतःतु
योगोस्ति,योगःअस्ति
चैकान्तमनश्नतः,चएकअन्तम्अन्अश्नतः 
चातिस्वप्नशीलस्य,चअतिस्वप्नशीलस्य
जग्रतो नैव,जाग्रतःनएव
चार्जुन,चअर्जुन
युक्ताहारविहारस्य,युक्तआहारविहारस्य
युक्तस्वप्नावबोधस्य,युक्तःस्वप्नअवबोधस्य
योगो भवति,योगःभवति
विनियतञ्चित्तमात्मन्येवावतिष्ठते,विनियतम्चित्तम्आत्मनिएवअवतिष्ठते 
निःस्पृहः,निःस्पृहः
सर्वकामेभ्यो युक्तः,सर्वकामेभ्यःयुक्तः
इत्युच्यते,इतिउच्यते
दीपो निवातस्थो नेङ्गते,दीपःनिवातस्थःनइङ्गते
सोपमा,सउपमा
योगिनो यतचित्तस्य,योगिनःयतचित्तस्य
युञ्जतो योगमात्मनः,युञ्जतःयोगम्आत्मनः
यत्रोपरमते,यत्रउपरमते
चित्तन्निरुद्धं योगसेवया,चित्तम्निरुद्धम्योगसेवया 
चैवात्मनात्मानम् पश्यन्नात्मनि,चएवआत्मनाआत्मानम् पश्यन्आत्मनि
सुखमात्यन्तिकं यत्,सुखम्आतिअन्तिकम्यत्
बुद्धिग्राह्यमतीन्द्रियम्,बुद्धिग्राह्यम्अतिइन्द्रियम् 
चैवायम्,चएवअयम्
स्थितश्चलति तत्त्वतः,स्थितःचलतितत्त्वतः
यं लब्ध्वा,यम्लब्ध्वा
चापरं लाभम्मन्यते,चअपरम्लाभम्मन्यते
नाधिकं ततः,नअधिकम्ततः
यस्मिन्स्थितो न,यस्मिन्स्थितःन
गुरुणापि,गुरुणाअपि 
तं विद्याद्दुःखसंयोगवियोगं योगसञ्ज्ञितम्,तम्विद्यात्दुःखसंयोगवियोगम्योगसञ्ज्ञितम् 
स निश्चयेन,सःनिश्चयेन
योक्तव्यो योगोनिर्विण्णचेतसा,योक्तव्यःयोगःअनिर्विण्णचेतसा
सङ्कल्पप्रभवान्कामांस्त्यक्त्वा,सम्कल्पप्रभवान्कामान्त्यक्त्वा 
सर्वानशेषतः,सर्वान्अशेषतः
मनसैवेन्द्रियग्रामं विनियम्य,मनसाएवइन्द्रियग्रामम्विनियम्य
समन्ततः,समम्ततः 
शनैरुपरमेद्बुद्ध्या,शनैःउपरमेत्बुद्ध्या
आत्मसंस्थम्मनः,आत्मसंस्थम्मनः
किञ्चिदपि,किम्चित्अपि
यतो यतो निश्चरति,यतःयतःनिःचरति
मनश्चञ्चलमस्थिरम्,मनःचञ्चलम्अस्थिरम् 
ततस्ततो नियम्यैतदात्मन्येव,ततःततःनियम्यएतत्आत्मनिएव
वशं नयेत्,वशम्नयेत्
प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम्,प्रशान्तमनसम्हिएनम्योगिनम्सुखम्उत्तमम् 
उपैति,उपएति
शान्तरजसम्ब्रह्मभूतमकल्मषम्,शान्तरजसम्ब्रह्मभूतम्अकल्मषम् 
युञ्जन्नेवं सदात्मानम् योगी,युञ्जन्एवम्सत्आत्मानम्योगी
ब्रह्मसंस्पर्शमत्यन्तं सुखमश्नुते,ब्रह्मसंस्पर्शम्अत्यन्तम्सुखम्अश्नुते
सर्वभूतस्थमात्मानं सर्वभूतानि,सर्वभूतस्थम्आत्मानम्सर्वभूतानि
चात्मनि,चआत्मनि
योगयुक्तात्मा,योगयुक्तआत्मा
यो माम्पश्यति,यःमाम्पश्यति
सर्वञ्च,सर्वम्च
तस्याहन्न,तस्यअहम्न
स च,सःच
सर्वभूतस्थितं यो माम्भजत्येकत्वमास्थितः,सर्वभूतस्थितम्यःमाम्भजतिएकत्वम्आस्थितः 
वर्तमानोपि,वर्तमानःअपि
स योगी,सःयोगी
आत्मौपम्येन,आत्माऔपम्येन
समम्पश्यति,समम्पश्यति 
यो अर्जुन,यःअर्जुन
सुखं वा,सुखम्वा
दुःखं स योगी,दुःखम्सःयोगी
परमो मतः,परमःमतः
अर्जुन उवाच,अर्जुनःउवाच
योयं योगस्त्वया,यःअयम्योगःत्वया 
प्रोक्तः,प्रउक्तः
एतस्याहन्न,एतस्यअहम्न
चञ्चलत्वात्स्थितिम् स्थिराम्,चञ्चलत्वात्स्थितिम्स्थिराम्
चञ्चलं हि,चम्चलम्हि
बलवद्दृढम्,बलवत्दृढम् 
तस्याहं निग्रहम्मन्ये,तस्यअहम्निग्रहम्मन्ये
वायोरिव,वायोःइव
श्रीभगवानुवाच,श्रीभगवान्उवाच
असंशयम्महाबाहो मनो दुर्निग्रहञ्चलम्,असंशयम्महाबाहःमनःदुःनिग्रहम्चलम् 
असंयतात्मना,असंयतात्आत्मना
योगो दुष्प्राय इति,योगःदुःप्रायःइति
वश्यात्मना,वश्यात्आत्मना
यतता शक्योवाप्तुमुपायतः,यतता शक्यअवआप्तु्म्उपायतः
अर्जुन उवाच,अर्जुनःउवाच
श्रद्धयोपेतो योगाच्चलितमानसः,श्रद्धयाउपेतःयोगात्चलितमानसः 
योगसंसिद्धिङ्काङ्गतिङ्कृष्ण,योगसंसिद्धिम्काम्गतिम्कृष्ण
कच्चिन्नोभयविभ्रष्टश्छिन्नाभ्रमिव,कत्चित्नउभयविभ्रष्टःछिन्नअभ्रम्इव
अप्रतिष्ठो महाबाहो विमूढो ब्रह्मणः,अप्रतिस्थःमहाबाहःविमूढःब्रह्मणः
एतन्मे,एतत्मे
संशयङ्कृष्ण,संशयम्कृष्ण
छेत्तुमर्हस्यशेषतः,छेत्तुम्अर्हसिअशेषतः
त्वदन्यः,त्वत्अन्यः
संशयस्यास्य,संशयस्यअस्य
ह्युपपद्यते,हिउपपद्यते
श्रीभगवानुवाच,श्रीभगवान्उवाच
नैवैह,नएवइह
नामुत्र,नअमुत्र
विनाशस्तस्य,विनाशःतस्य
कल्याणकृत्कश्चिद्दुर्गतिन्तात,कल्याणकृत्कःचित्दुःगतिम्तात
पुण्यकृतां लोकानुषित्वा,पुण्यकृताम्लोकान्उषित्वा
शुचीनां श्रिमताम् गेहे,शुचीनाम्श्रीमताम्गेहे
योगभ्रष्टोभिजायते,योगभ्रष्टःअभिजायते
योगिनामेव,योगिनाम्एव
एतद्धि,एतत्हि
दुर्लभतरं लोके,दुर्लभतरम्लोके
यदीदृशम्,यत्ईदृशम्
तम्बुद्धिसंयोगं लभते,तम्बुद्धिसंयोगम्लभते
ततो भूयः,ततःभूयः
पूर्वाभ्यासेन,पूर्वअभ्यासेन
तेनैव,तेनएव
ह्यवशोपि,हिअवशःअपि
जिज्ञासुरपि,जिज्ञासुःअपि
शब्दब्रह्मातिवर्तते,शब्दब्रह्मअतिवर्तते
प्रयत्नाद्यतमानस्तु,प्रयत्नात्यतमानःतु
अनेकजन्मसंसिद्धस्ततो याति,अनेकजन्मसिद्धःततःयाति 
पराङ्गतिम्,पराम्गतिम्
तपस्विभ्योधिको योगी,तपस्विभ्यःअधिकःयोगी 
ज्ञानिभ्योपि,ज्ञानिभ्यःअपि
मतोधिकः,मतःअधिकः 
कर्मिभ्यश्चाधिको योगी,कर्मिभ्यःचअधिकःयोगी
तस्माद्योगी,तस्मात्योगी
भवाअर्जुन,भवअर्जुन
योगिनामपि,योगिनाम्अपि 
सर्वेषाम्मद्गतेनान्तरात्मना,सर्वेषाम्मत्गतेनअन्तर्आत्मना 
श्रद्धावान्भजते,श्रद्धावान्भजते
यो मां स मे,यःमाम्सःमे 
युक्ततमो मतः,युक्ततमःमतः 
ओं तत्,ओम्तत् 
श्रीमद्भगवद्गीतासु,श्रीमत्भगवत्गीतासु 
ब्रह्मविद्यायां योगशास्त्रे,ब्रह्मविद्यायाम्योगशास्त्रे
श्रीकृष्णार्जुनसंवादे,श्रीकृष्णअर्जुनसंवादे
ध्यानयोगोनाम,ध्यानयोगःनाम
षष्ठोध्यायः,षष्ठःअध्यायः
सप्तमोध्यायः,सप्तमःअध्यायः
श्रीभगवानुवाच,श्रीभगवान्उवाच
मय्यासक्तमनाः,मयिआसक्तमनाः
योगं युञ्जन्मदाश्रयः,योगम्युञ्जन्मत्आश्रयः
असंशयं समग्रं मां यथा,असंशयम्समग्रम्माम्यथा
तच्छृणु,तत्श्रृणु
ज्ञानं तेहं सविज्ञानमिदं वक्ष्याम्यशेषतः,ज्ञानम्तेअहम्सविज्ञानम्इदम्वक्ष्यामिअशेषतः 
यज्ज्ञात्वा,यत्ज्ञात्वा
नेह,नइह
भूयोन्यज्ज्ञातव्यमवशिष्यते,भूयःअन्यत्ज्ञातव्यम्अवशिष्यते
मनुष्याणां सहस्रेषु,मनुष्याणाम्सहस्रेषु 
कश्चिद्यतति,कःचित्यतति
यततामपि,यतताम्अपि
सिद्धानां कश्चिन्मां वेत्ति,सिद्धानाम्कःचित्माम्वेत्ति 
भूमिरापोनलोवायुः,भूमिःआपःअनलःवायुः 
खं मनो बुद्धिरेव,खम्मनःबुद्धिःएव
अहङ्कार इतीयं मे,अहम्कारःइतिइयम्मे
प्रकृतिरष्टधा,प्रकृतिःअष्टधा
अपरेयमितस्त्वन्यां प्रकृतिं विद्धि,अपराइयम्इतःतुअन्याम्प्रकृतिम्विद्धि
जीवभूतां महाबाहो ययेदं धार्यते,जीवभूताम्महाबाहःययाइदम्धार्यते
एतद्योनीनि,एतत्योनीनि
सर्वाणीत्युपधारय,सर्वाणिइतिउपधारय
अहं कृत्स्नस्य,अहम्कृत्स्नस्य
प्रलयस्तथा,प्रलयःतथा
परतरं नान्यत्किञ्चिदस्ति,परतरम्नअन्यत्किम्चित्अस्ति
धनञ्जय,धनम्जय
सर्वमिदं प्रोतं सूत्रे,सर्वम्इदम्प्रोतम्सूत्रे 
रसोहमप्सु,रसःअहम्अप्सु
प्रभास्मि,प्रभाअस्मि
पौरुषन्नृषु,पौरुषम्नृषु
पुण्यो गन्धः,पुण्यःगन्धः
पृथिव्यञ्च,पृथिव्याम्च
तेजश्चास्मि,तेजःचअस्मि 
जीवनं सर्वभूतेषु,जीवनम्सर्वभूतेषु 
तपश्चास्मि,तपःचअस्मि
बीजं मां सर्वभूतानां विद्धि,बीजम्माम्सर्वभूतानाम्विद्धि
बुद्धिर्बुद्धिमतामस्मि,बुद्धिःबुद्धिमताम्अस्मि
तेजस्तेजस्विनामहम्,तेजःतेजस्विनाम्अहम्
बलं बलवतां चाहं कामरागविवर्जितम्,बलम्बलवताम्चअहम्कामरागविवर्जितम् 
धर्मावीरुद्धो भूतेषु,धर्मस्यअविरुद्धःभूतेषु 
कामोस्मि,कामःअस्मि
भरतर्षभ,भरतऋषभ
चैव,चएव
सात्त्विका भावा राजसास्तामसाश्च,सात्त्विकाःभावाःराजसाःतामसाःच
एवेति,एवइति
तान्विद्धि,तान्विद्धि
त्वहं तेषु,तुअहम्तेषु
त्रिभिर्गुणमयैर्भावैरेभिः,त्रिभिःगुणमयैःभावैःएभिः 
सर्वमिदं जगत्,सर्वम्इदम्जगत् 
मोहितं नाभिजानाति,मोहितम्नअभिजानाति
मामेभ्यः परमव्ययम्,माम्एभ्यःपरम्अव्ययम्
मामेव,माम्एव
मायामेतां तरन्ति,मायाम्एताम्तरन्ति
मां दुष्कृतिनो मूढाः,माम्दुःकृतिनःमूढाः
नराधमाः,नरअधमाः
माययापहृतज्ञाना,माययाअपहृतज्ञाना 
आसुरं भावमाश्रिताः,आसुरम्भावम्आश्रिताः
मां जनाः,माम्जनाः
सुकृतिनोर्जुन,सुकृतिनःअर्जुन 
आर्तो जिज्ञासुरर्थार्थी,आर्तःजिज्ञासुःअर्थअर्थी
भरतर्षभ,भरतऋषभ
तेषां ज्ञानी,तेषाम्ज्ञानी
एकभक्तिर्विशिष्यते,एकभक्तिःविशिष्यते 
प्रियो हि,प्रियःहि 
ज्ञानिनोत्यर्थमहं स च,ज्ञानिनःअतिअर्थम्अहम्सःच
सर्व एवैते,सर्वेएवएते
त्वात्मैव,तुआत्माएव
स हि,सःहि
युक्तात्मा,युक्तआत्मा
मामेवानुत्तमाङ्गतिम्,माम्एवअन्उत्तमाम्गतिम्
बहूनां जन्मनामन्ते,बहूनाम्जन्मनाम्अन्ते
मां प्रपद्यते,माम्प्रपद्यते
सर्वमिति,सर्वम्इति
स महात्मा,सःमहाआत्मा
कामैस्तैस्तैर्हृतज्ञानाः,कामैःतैःतैःहृतज्ञानाः 
प्रपद्यन्तेन्यदेवताः,प्रपद्यन्तेअन्यदेवताः 
तं तं नियममास्थाय,तम्तम्नियमम्आस्थाय 
यो यो यां यां तनुं भक्तः,यःयःयाम्याम्तनुम्भक्तः
श्रद्धयार्चितुमिच्छति,श्रद्धयाअर्चितुम्इच्छति 
तस्याचलां श्रद्धां तामेव,तस्यअचलाम्श्रद्धाम्ताम्एव
विदधाम्यहम्,विदधामिअहम्
स तया,सःतया
युक्तस्तस्याराधनमीहते,युक्तःतस्यआराधनम्ईहते 
मयैव,मयाएव
विहितान्हि,विहितान्हि
अन्तवत्तु,अन्तवत्तु
फलं तेषां तद्भवत्यल्पमेधसाम्,फलम्तेषाम्तत्भवतिअल्पमेधसाम् 
देवान्देवयजो यान्ति,देवान्देवयजःयान्ति
मद्भक्ता यान्ति,मत्भक्ताःयान्ति
मामपि,माम्अपि
अव्यक्तं व्यक्तिमापन्नं मन्यन्ते,अव्यक्तम्व्यक्तिम्आपन्नम्मन्यन्ते
मामबुद्धयः,माम्अबुद्धयः
परम्भावमजानन्तो ममाव्ययमनुत्तमम्,परम्भावम्अजानन्तःममअव्ययम्अन्उत्तमम्
नाहं प्रकाशः,नअहम्प्रकाशः
योगमायासमावृतः,योगमायासम्आवृतः 
मूढोयं नाभिजानाति,मूढःअयम्नअभिजानाति 
लोको मामजमव्ययम्,लोकःमाम्अजम्अव्ययम् 
वेदाहं समतीतानि,वेदअहम्सम्अतीतानि
चार्जुन,चअर्जुन 
मां तु,माम्तु
कश्चन,कःचन
इच्छाद्वेषसमुत्थेन,इच्छाद्वेषसम्उत्थेन
सम्मोहं सर्गे,सम्मोहम्सर्गे
परन्तप,परम्तप
येषां त्वन्तगतम्पापं जनानाम्पुण्यकर्मणाम्,येषाम्तुअन्तगतम्पापम्जनानाम्पुण्यकर्मणाम्
द्वन्द्वमोहनिर्मुक्ता भजन्ते,द्वन्द्वमोहनिर्मुक्ताःभजन्ते
मां दृढव्रताः,माम्दृढव्रताः
मामाश्रित्य,माम्आश्रित्य
तद्विदुः,तत्विदुः
कृत्स्नमध्यात्मं कर्म,कृत्स्नम्अधिआत्मम्कर्म
चाखिलम्,चअखिलम्
साधिभूताधिदैवम्मां साधियज्ञञ्च,सअधिभूतअधिदैवम्माम्सअधियज्ञम्च
प्रयाणकालेपि,प्रयाणकालेअपि
विदुर्युक्तचेतसः,विदुःयुक्तचेतसः
ओं तत्,ओम्तत् 
श्रीमद्भगवद्गीतासु,श्रीमत्भगवत्गीतासु 
ब्रह्मविद्यायां योगशास्त्रे,ब्रह्मविद्यायाम्योगशास्त्रे
श्रीकृष्णार्जुनसंवादे,श्रीकृष्णअर्जुनसंवादे
ज्ञानविज्ञानयोगोनाम,ज्ञानविज्ञानयोगःनाम
सप्तमोध्यायः,सप्तमःअध्यायः
अष्टमोध्यायः,अष्टमःअध्यायः 
अर्जुन उवाच,अर्जुनःउवाच 
किं तद्ब्रह्म,किम्तत्ब्रह्म
किमध्यात्मं किं कर्म,किम्अधिआत्मम्किम्कर्म
पुरुषोत्तम,पुरुषउत्तम 
अधिभूतञ्च,अधिभूतम्च
किम्प्रोक्तमधिदैवं किमुच्यते,किम्प्रोक्तम्अधिदैवम्किम्उच्यते
कथङ्कोत्र,कथम्कःअत्र
देहेस्मिन्मधुसूदन,देहेअस्मिन्मधुसूदन 
कथञ्ज्ञेयोसि,कथम्ज्ञेयःअसि
नियतात्मभिः,नियतआत्मभिः
श्रीभगवानुवाच,श्रीभगवान्उवाच
अक्षरम्ब्रह्म,अक्षरम्ब्रह्म
परमं स्वभावोध्यात्ममुच्यते,परमम्स्वभावःअधिआत्मम्उच्यते 
भूतभावोद्भवकरो विसर्गः,भूतभावउत्भवकरःविसर्गः
अधिभूतं क्षरो भावः,अधिभूतम्क्षरःभावः
पुरुषश्चाधिदैवतम्,पुरुषःचअधिदैवतम्
अधियज्ञोहमेवात्र,अधियज्ञःअहम्एवअत्र
देहभृतां वर,देहभृताम्वर
मामेव,माम्एव
स मद्भावं याति,सःमत्भावम्याति 
नास्त्यत्र,नअस्तिअत्र
यं यं वापि,यम्यम्वाअपि 
स्मरन्भावन्त्यजत्यन्ते,स्मरन्भावम्त्यजतिअन्ते 
तं तमेवैति,तम्तम्एवइति
तद्भावभावितः,तत्भावभावितः
तस्मात्सर्वेषु,तस्मात्सर्वेषु 
मामनुस्मर,माम्अनुस्मर
मय्यर्पितमनोबुद्धिर्मामेवैष्यस्यसंशयः,मयिअर्पितमनःबुद्धिःमाम्एवइष्यसिअसंशयः 
नान्यगामिना,नअन्यगामिना
परमम्पुरुषं दिव्यं याति,परमम्पुरुषम्दिव्यम्याति
पार्थानुचिन्तयन्,पार्थअनुचिन्तयन्
कविम्पुराणमनुशासितारमणोरणीयांसमनुस्मरेद्यः,कविम्पुराणम्अनुशासितारम्अणोःअणीयान्सम्अनुस्मरेत्यः
धातारमचिन्त्यरूपमादित्यवर्णन्तमसः,धातारम्अचिन्त्यरूपम्आदित्यवर्णम्तमसः 
परस्तात्,परःतात्
युक्तो योगबलेन,युक्तःयोगबलेन
चैव,चएव 
भ्रुवोर्मध्ये,भ्रुवोःमध्ये
प्राणमावेश्य,प्राणम्आवेश्य
स तम्परम्पुरुषमुपैति,सःतम्परम्पुरुषम्उपएति 
यदक्षरं वेदविदो वदन्ति,यत्अक्षरम्वेदविदःवदन्ति 
यद्यतयो वीतरागाः,यत्यतयःवीतरागाः 
यदिच्छन्तो ब्रह्मचर्यञ्चरन्ति,यदिइच्छन्तःब्रह्मचर्यम्चरन्ति 
तत्ते,तत्ते 
पदं सङ्ग्रहेण,पदम्सङ्ग्रहेण
मनो हृदि,मनःहृदि
मूर्ध्न्याधायात्मनः,मूर्ध्न्यआधायआत्मनः
प्राणमास्थितो योगधारणाम्,प्राणम्आस्थितःयोगधारणाम्
ओमित्येकाक्षरम्ब्रह्म,ओम्इतिएकअक्षरम्ब्रह्म
व्याहरन्मामनुस्मरन्,व्याहरन्माम्अनुस्मरन्
त्यजन्देहं स याति,त्यजत्देहम्सःयाति
परमाङ्गतिम्,परमाम्गतिम् 
सततं यो मां स्मरति,सततम्यःमाम्स्मरति
तस्याहं सुलभः,तस्यअहम्सुलभः
मामुपेत्य,माम्उपेत्य
पुनर्जन्म,पुनःजन्म
दुःखालयमशाश्वतम्,दुःखआलयम्अशाश्वतम् 
नाप्नुवन्ति,नआप्नुवन्ति
महात्मानः,महाआत्मानः
संसिद्धिम्परमाङ्गताः,सम्सिद्धिम्परमाम्गताः
आब्रह्मभुवनाल्लोकाः,आब्रह्मभुवनात्लोकाः
पुनरावर्तिनोर्जुन,पुनःआवर्तिनःअर्जुन
मामुपेत्य,माम्उपइत्य
पुनर्जन्म,पुनःजन्म
सहस्रयुगपर्यन्तमहर्यद्ब्रह्मणो विदुः,सहस्रयुगपर्यन्तम्अहःयत्ब्रह्मणःविदुः 
रात्रिं युगसहस्रान्तान्तेहोरात्रविदो जनाः,रात्रिम्युगसहस्राम्ताम्तेअहःरात्रविदःजनाः
अव्यक्ताद्व्यक्तयः,अव्यक्तात्व्यक्तयः 
प्रभवन्त्यहरागमे,प्रभवन्तिअहःआगमे 
रात्र्यागमे,रात्रिआगमे
तत्रैवाव्यक्तसञ्ज्ञके,तत्रएवअव्यक्तसञ्ज्ञके
स एवायम्भूत्वा,सःएवअयम्भूत्वा
रात्र्यागमेवशः,रात्रिआगमेअवशः
प्रभवत्यहरागमे,प्रभवतिअहःआगमे 
परस्तस्मात्तु,परःतस्मात्तु
भावोन्योव्यक्तोव्यक्तात्सनातनः,भावोःअन्यःअव्यक्तःअव्यक्तात्सनातनः
स सर्वेषु,सःसर्वेषु
अव्यक्तोक्षर इत्युक्तस्तमाहुः,अव्यक्तःअक्षरःइतिउक्तःतम्आहुः
परमाङ्गतिम्,परमाम्गतिम् 
यं प्राप्य,यम्प्राप्य
तद्धाम,तत्धाम
परमम्मम,परमम्मम
लभ्यस्त्वनन्यया,लभ्यःतुअनन्यया
यस्यान्तःस्थानि,यस्यअन्तःस्थानि
सर्वमिदन्ततम्,सर्वम्इदम्ततम्
त्वनावृत्तिमावृत्तिञ्चैव,तुअन्आवृत्तिम्आवृत्तिम्चएव 
प्रयाता यान्ति,प्रयाताःयान्ति
तङ्कालं वक्ष्यामि,तम्कालम्वक्ष्यामि
भरतर्षभ,भरतऋषभ
अग्निर्ज्योतिरहः,अग्निःज्योतिःअहः
षण्मासा,षट्मासा
उत्तरायणम्,उत्तरअयनम्
प्रयाता गच्छन्ति,प्रयाताःगच्छन्ति
ब्रह्मविदो जनाः,ब्रह्मविदःजनाः
धूमो रात्रिस्तथा,धूमःरात्रिःतथा
षण्मासा,षट्मासा
दक्षिणायनम्,दक्षिणअयनम्
चान्द्रमसञ्ज्योतिर्योगी,चान्द्रमसम्ज्योतिःयोगी
ह्येते,हिएते
यात्यनावृत्तिमन्ययावर्तते,यातिअन्आवृत्तिम्अन्ययाआवर्तते
नैते,नएते 
जानन्योगी,जानन्योगी
कश्चन,कःचन
तस्मात्सर्वेषु,तस्मात्सर्वेषु
योगयुक्तो भवार्जुन,योगयुक्तःभवअर्जुन
चैव,चएव 
यत्पुण्यफलम्प्रदिष्टम्,यत्पुण्यफलम्प्रदिष्टम्
अत्येति,अतिएति
तत्सर्वमिदं विदित्वा,तत्सर्वम्इदम्विदित्वा 
परं स्थानमुपैति,परम्स्थानम्उपएति
चाद्यम्,चअद्यम्
ओं तत्,ओम्तत् 
श्रीमद्भगवद्गीतासु,श्रीमत्भगवत्गीतासु 
ब्रह्मविद्यायां योगशास्त्रे,ब्रह्मविद्यायाम्योगशास्त्रे
श्रीकृष्णार्जुनसंवादे,श्रीकृष्णअर्जुनसंवादे
अक्षरपरब्रह्मयोगोनाम,अक्षरपरब्रह्मयोगःनाम
अष्टमोध्यायः,अष्टमःअध्यायः
नवमोध्यायः,नवमःअध्यायः
श्रीभगवानुवाच,श्रीभगवान्उवाच
इदं तु,इदम्तु
गुह्यतमं प्रवक्ष्याम्यनसूयवे,गुह्यतमम्प्रवक्ष्यामिअन्असूयवे 
ज्ञानं विज्ञानसहितं यज्ज्ञात्वा,ज्ञानम्विज्ञानसहितम्यत्ज्ञात्वा
मोक्ष्यसेशुभात्,मोक्ष्यसेअशुभात्
राजगुह्यं पवित्रमिदमुत्तमम्,राजगुह्यम्पवित्रम्इदम्उत्तमम् 
प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम्,प्रत्यक्षौआगमम्धर्म्यम्सुसुखम्कर्तुम्अव्ययम्
पुरुषा धर्मस्यास्य,पुरुषाःधर्मस्यअस्य
परन्तप,परम्तप
मां निवर्तन्ते,माम्निवर्तन्ते
ततमिदं सर्वं जगदव्यक्तमूर्तिना,ततम्इदम्सर्वम्जगत्अव्यक्तमूर्तिना 
चाहं तेष्ववस्थितः,चअहम्तेषुअवस्थितः 
योगमैश्वरम्,योगम्ऐश्वरम् 
भूतभृन्न,भूतभृत्न
भूतस्थो ममात्मा,भूतस्थःममआत्मा
यथाकाशस्थितो नित्यं वायुः,यथाआकाशस्थितःनित्यम्वायुः
सर्वत्रगो महान्,सर्वत्रगःमहान्
मत्स्थानीत्युपधारय,मत्स्थानिइतिउपधारय 
प्रकृतिं यान्ति,प्रकृतिम्यान्ति
पुनस्तानि,पुनःतानि
कल्पादौ,कल्पआदौ
विसृजाम्यहम्,विसृजामिअहम्
प्रकृतिं स्वामवष्टभ्य,प्रकृतिम्स्वाम्अवष्टभ्य
भूतग्राममिमम्,भूतग्रामम्इमम्
कृत्स्नमवसम्प्रकृतेर्वशात्,कृत्स्नम्अवसम्प्रकृतेःवशात्
मां तानि,माम्तानि
धनञ्जय,धनम्जय
उदासीनवदासीनमसक्तं तेषु,उदासीनअवदासीनम्असक्तम्तेषु 
मयाध्यक्षेण,मयाअधिअक्षेण
सचराचरम्,चरअचरम्
हेतुनानेन,हेतुनाअनेन
जगद्विपरिवर्तते,जगत्विपरिवर्तते
